,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
358,Deep River,46.1001,-77.4995,35.94,92,100,4.83,CA,1666265740
359,Benguela,-12.5763,13.4055,78.04,73,78,10.18,AO,1666265740
360,St-Jean-Port-Joli,47.2171,-70.2658,44.96,78,17,13.18,CA,1666265740
361,Pringsewu,-5.3582,104.9744,75.33,95,100,4.59,ID,1666265741
362,Chapais,49.7834,-74.8492,33.58,92,100,6.06,CA,1666265741
363,Palazzolo Acreide,37.0623,14.9035,71.69,41,0,4.56,IT,1666265670
364,Mount Gambier,-37.8333,140.7667,56.1,90,26,5.79,AU,1666265741
365,Rudnogorsk,57.2639,103.7519,30.94,98,97,2.89,RU,1666265741
366,Lianran,24.9227,102.485,63.14,78,8,3.76,CN,1666265742
367,Mahon,39.8885,4.2658,77.56,73,0,12.66,ES,1666265742
368,Tahoua,14.8888,5.2692,91.38,16,0,6.91,NE,1666265742
369,Indi,17.1667,75.9667,83.59,64,65,6.71,IN,1666265742
370,Masindi,1.6744,31.715,78.66,64,73,4.16,UG,1666265742
371,Bubaque,11.2833,-15.8333,82.31,70,23,4.21,GW,1666265742
372,Chumikan,54.7183,135.315,34.97,67,94,9.4,RU,1666265742
373,Casa Nova,-9.4167,-41.1333,79.63,52,8,19.33,BR,1666265743
374,Vernon,50.2581,-119.2691,53.29,76,84,2.3,CA,1666265743
375,Hofn,64.2539,-15.2082,37.42,93,75,5.75,IS,1666265743
376,Saint Anthony,45.0205,-93.218,38.21,55,0,4.61,US,1666265744
377,Ostrovnoy,68.0531,39.5131,31.66,89,100,33.55,RU,1666265744
378,Nova Olímpia,-14.7972,-57.2881,87.62,50,55,6.76,BR,1666265744
379,Egvekinot,66.3167,-179.1667,29.25,98,100,4.43,RU,1666265744
380,Palmer,42.1584,-72.3287,40.24,88,0,6.91,US,1666265744
381,Altagracia de Orituco,9.8601,-66.3814,75.2,88,31,2.77,VE,1666265744
382,Kabare,-2.4683,28.8242,75.87,62,89,1.83,CD,1666265745
383,Launceston,-41.45,147.1667,56.34,82,12,6.91,AU,1666265745
384,Hirara,24.8,125.2833,77.27,65,75,19.57,JP,1666265745
385,Jatibonico,21.9419,-79.17,73.31,94,93,4.18,CU,1666265746
386,Vardø,70.3705,31.1107,30.18,93,100,43.73,NO,1666265746
387,Pemba,-12.974,40.5178,86.7,58,40,9.22,MZ,1666265664
388,Batagay-Alyta,67.8006,130.4114,2.32,85,76,6.17,RU,1666265746
389,Ambon City,-3.6954,128.1814,82.54,83,20,3.44,ID,1666265746
390,Nānākuli,21.3906,-158.1547,71.55,80,100,12.66,US,1666265747
391,Ahipara,-35.1667,173.1667,57.42,90,10,12.77,NZ,1666265747
392,Berdigestyakh,62.0989,126.6992,19.15,92,100,9.31,RU,1666265747
393,Nishihara,26.1842,127.7558,76.28,59,20,18.41,JP,1666265748
394,Kruisfontein,-34.0033,24.7314,66.88,53,57,22.91,ZA,1666265748
395,Ondjiva,-17.0667,15.7333,91.44,24,0,5.75,AO,1666265748
396,Dudinka,69.4058,86.1778,34.63,98,100,18.12,RU,1666265748
397,Anito,12.4497,125.2886,79.14,82,100,4.07,PH,1666265748
398,Rome,43.2128,-75.4557,41.5,81,100,5.75,US,1666265748
399,Flin Flon,54.7682,-101.865,48.04,66,75,4.61,CA,1666265749
400,Colombo,6.9319,79.8478,84.15,83,100,12.15,LK,1666265749
401,Freeport,40.6576,-73.5832,46.96,75,0,13.8,US,1666265749
402,Tomatlán,19.9333,-105.25,72.32,94,94,3.6,MX,1666265749
403,Kuruman,-27.4524,23.4325,90.0,24,38,7.76,ZA,1666265623
404,Ust-Maya,60.4167,134.5333,23.23,94,100,6.49,RU,1666265750
405,Yako,12.9667,-2.2667,93.97,24,3,2.01,BF,1666265750
406,Tilichiki,60.4667,166.1,18.91,85,91,5.86,RU,1666265630
407,Vasil'sursk,56.1275,46.0072,43.81,58,8,5.68,RU,1666265750
